Classifier,RF-sd,DF-sd,CF+DF+RF-sd,CF+DF-sd,CF+RF-sd,RF+DF-sd,CF-sd
AdaBoostClassifier,0.074535599,0,0.042007675,0.060138109,0.071256093,0.074535599,0.050158904
BaggingClassifier,0.106452211,0.035497966,0.062553485,0.093184636,0.082715917,0.073346063,0.04282952
MLPClassifier,0.119305871,0.036423763,0.231672057,0.04240166,0.07009495,0.115026983,0.027033717
ExtraTreesClassifier,0.046264389,0.071115483,0.040492844,0.014530197,0.028137022,0.051121113,0.02897656
GradientBoostingClassifier,0.060459915,0.066199587,0.045751668,0.031897456,0.030887445,0.047492254,0.046231505
KNeighborsClassifier,0.031632127,0.042717579,0.037897964,0.02197944,0.046511131,0.040580146,0.044246376
RandomForestClassifier,0.027708612,0.031622519,0.046601423,0.015795685,0.031527643,0.069812317,0.027220218
XGBClassifier,0.110864157,0.083008905,0.039271084,0.058249585,0.029914678,0.161116455,0.032591447
