Classifier,RF,DF,CF+DF+RF,CF+DF,CF+RF,RF+DF,CF
AdaBoostClassifier,0.45,0.416666667,0.316666667,0.306666667,0.323333333,0.45,0.31
BaggingClassifier,0.423333333,0.44,0.31,0.31,0.31,0.483333333,0.3
MLPClassifier,0.426666667,0.44,0.503333333,0.23,0.346666667,0.416666667,0.193333333
ExtraTreesClassifier,0.44,0.446666667,0.163333333,0.19,0.193333333,0.446666667,0.203333333
GradientBoostingClassifier,0.486666667,0.466666667,0.2,0.24,0.233333333,0.48,0.226666667
KNeighborsClassifier,0.476666667,0.443333333,0.323333333,0.226666667,0.3,0.463333333,0.23
RandomForestClassifier,0.466666667,0.446666667,0.206666667,0.216666667,0.2,0.45,0.246666667
XGBClassifier,0.433333333,0.446666667,0.223333333,0.243333333,0.19,0.406666667,0.246666667
