Classifier,RF,DF,CF+DF+RF,CF+DF,CF+RF,RF+DF,CF
AdaBoostClassifier,0.392879257,0.429824561,0.681184317,0.692661967,0.677223856,0.392879257,0.689687049
BaggingClassifier,0.465302144,0.469542518,0.685877054,0.689632642,0.691055957,0.517273906,0.699337794
MLPClassifier,0.450103494,0.483530171,0.362263502,0.75666709,0.587944447,0.440849735,0.80502511
ExtraTreesClassifier,0.51240952,0.497467531,0.835626689,0.808058708,0.804563531,0.504858531,0.794620249
GradientBoostingClassifier,0.495533867,0.454452545,0.795088835,0.755511731,0.760709855,0.511651958,0.765465149
KNeighborsClassifier,0.449178624,0.50826656,0.640740598,0.754891475,0.674094919,0.490889046,0.754188476
RandomForestClassifier,0.513185893,0.457934774,0.786082348,0.776609143,0.790255319,0.474782626,0.743760486
XGBClassifier,0.445487917,0.519697808,0.774406684,0.752552541,0.801325113,0.472090877,0.731935013
