Classifier,RF,DF,CF+DF+RF,CF+DF,CF+RF,RF+DF,CF
AdaBoostClassifier,0.306944444,0.340277778,0.682029712,0.69865832,0.683176882,0.306944444,0.694052811
BaggingClassifier,0.418019481,0.491371766,0.688779261,0.694276094,0.696117869,0.523234704,0.701246573
MLPClassifier,0.464470043,0.510616376,0.313729399,0.787857994,0.739368856,0.424281609,0.807135851
ExtraTreesClassifier,0.539108804,0.50077457,0.836430439,0.809985478,0.80660302,0.515925704,0.798357257
GradientBoostingClassifier,0.491862636,0.465702406,0.807679577,0.76227433,0.768415549,0.508917942,0.783297559
KNeighborsClassifier,0.441968824,0.528352482,0.697724893,0.808398785,0.717439038,0.494787114,0.794625672
RandomForestClassifier,0.511185982,0.474524589,0.800295661,0.790301336,0.815686065,0.494990024,0.758866032
XGBClassifier,0.415184122,0.531362102,0.778782225,0.758052727,0.827014851,0.455508068,0.791113361
