Classifier,RF-sd,DF-sd,CF+DF+RF-sd,CF+DF-sd,CF+RF-sd,RF+DF-sd,CF-sd
AdaBoostClassifier,0.074535599,0,0.039086798,0.065192024,0.074161985,0.074535599,0.050826502
BaggingClassifier,0.009128709,0.009128709,0.05725188,0.093244005,0.085472543,0.069721669,0.042491829
MLPClassifier,0.02236068,0.019002924,0.112051575,0.046248123,0.142594998,0,0.027888668
ExtraTreesClassifier,0.038369548,0.038005848,0.039791121,0.01490712,0.027888668,0.038005848,0.027386128
GradientBoostingClassifier,0.04472136,0.057735027,0.048591266,0.030276504,0.031180478,0.043140597,0.043461349
KNeighborsClassifier,0.009128709,0.034560736,0.030276504,0.034560736,0.0372678,0.02981424,0.043140597
RandomForestClassifier,0.016666667,0.013944334,0.048016201,0.011785113,0.039086798,0.042491829,0.027386128
XGBClassifier,0.016666667,0.068109389,0.040138649,0.053489355,0.032489314,0.025276251,0.02981424
