Classifier,RF-sd,DF-sd,CF+DF+RF-sd,CF+DF-sd,CF+RF-sd,RF+DF-sd,CF-sd
AdaBoostClassifier,0.082612212,0,0.040588476,0.064227647,0.072922874,0.082612212,0.049172626
BaggingClassifier,0.048579681,0.021144527,0.062687401,0.093589071,0.08495947,0.069654016,0.043131827
MLPClassifier,0.035292129,0.020946007,0.177740685,0.054210731,0.204096427,0.01509684,0.028557799
ExtraTreesClassifier,0.020626967,0.058701226,0.040110159,0.015755541,0.028327832,0.043028497,0.025530943
GradientBoostingClassifier,0.053737747,0.047950111,0.052048173,0.032278838,0.034260977,0.046371522,0.043821984
KNeighborsClassifier,0.02044636,0.046450796,0.038644971,0.04350739,0.043146562,0.032028536,0.050010585
RandomForestClassifier,0.028141377,0.013591711,0.052013703,0.011493655,0.04444079,0.040333731,0.030800377
XGBClassifier,0.036616675,0.062535243,0.041033548,0.054038526,0.036043685,0.064708339,0.038896813
